tripduration (s),tripduration (m/s),starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Age 
7255,120.92,23:41.7,24:36.9,3210,Pershing Field,40.74267714,-74.05178863,3210,Pershing Field,40.74267714,-74.05178863,42251,Customer,2001,Female,19
310,5.17,23:03.8,28:14.5,3677,Glenwood Ave,40.72755147,-74.07106072,3280,Astor Place,40.7192822,-74.07126188,42569,Subscriber,1959,Male,61
248,4.13,26:38.8,30:47.8,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42235,Subscriber,1967,Male,53
278,4.63,35:01.1,39:39.4,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.7308971,-74.06391263,42246,Subscriber,1963,Female,57
187,3.12,02:19.2,05:26.6,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,42264,Subscriber,1986,Male,34
762,12.7,05:33.1,18:15.8,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,42448,Subscriber,1980,Male,40
2482,41.37,18:21.2,59:43.7,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,42447,Subscriber,1959,Male,61
275,4.58,21:00.5,25:36.2,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,42264,Subscriber,1987,Male,33
642,10.7,28:03.7,38:46.4,3678,Fairmount Ave,40.72572614,-74.07195926,3186,Grove St PATH,40.71958612,-74.04311746,42209,Subscriber,1970,Male,50
4464,74.4,36:20.0,50:44.6,3212,Christ Hospital,40.73478582,-74.05044364,3205,JC Medical Center,40.71653978,-74.04963791,42265,Subscriber,1995,Female,25
238,3.97,37:30.5,41:29.1,3276,Marin Light Rail,40.71458404,-74.04281706,3184,Paulus Hook,40.7141454,-74.0335519,42495,Customer,1989,Male,31
268,4.47,50:51.5,55:20.3,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.7308971,-74.06391263,42634,Subscriber,1981,Male,39
2259,37.65,52:11.9,29:51.3,3203,Hamilton Park,40.72759597,-74.04424731,3194,McGinley Square,40.72533993,-74.06762213,42301,Customer,1989,Male,31
322,5.37,52:25.9,57:48.6,3207,Oakland Ave,40.7376037,-74.0524783,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,38454,Subscriber,1982,Male,38
264,4.4,53:23.0,57:47.0,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,42440,Subscriber,1988,Female,32
496,8.27,54:34.4,02:50.5,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3205,JC Medical Center,40.71653978,-74.04963791,42549,Subscriber,1991,Male,29
712,11.87,58:31.3,10:24.3,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42617,Subscriber,1982,Female,38
2324,38.73,00:16.2,39:00.7,3267,Morris Canal,40.71241882,-74.03852552,3267,Morris Canal,40.71241882,-74.03852552,42447,Subscriber,1959,Male,61
2953,49.22,01:52.2,51:06.1,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,42123,Subscriber,1966,Male,54
415,6.92,05:40.4,12:35.8,3279,Dixon Mills,40.72163014,-74.04996783,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42614,Customer,1969,Unknown,51
329,5.48,10:13.7,15:43.5,3203,Hamilton Park,40.72759597,-74.04424731,3279,Dixon Mills,40.72163014,-74.04996783,42239,Customer,1969,Unknown,51
387,6.45,10:16.8,16:44.6,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,42105,Subscriber,1970,Female,50
276,4.6,17:12.9,21:49.0,3185,City Hall,40.7177325,-74.043845,3184,Paulus Hook,40.7141454,-74.0335519,42297,Subscriber,1982,Male,38
348,5.8,18:17.3,24:06.0,3205,JC Medical Center,40.71653978,-74.04963791,3275,Columbus Drive,40.7183552,-74.03891444,42435,Subscriber,1989,Female,31
284,4.73,22:18.9,27:03.1,3195,Sip Ave,40.7308971,-74.06391263,3678,Fairmount Ave,40.72572614,-74.07195926,42634,Subscriber,1980,Male,40
